Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,Weekend,Revenue,Number Cluster,Confianza
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,1,1,1,1,0,0,1,0.46742792545814466
0,0.0,0,0.0,2,64.0,0.0,0.1,0.0,0.0,2,2,2,1,2,0,0,0,0.3845300313632634
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,4,1,9,3,0,0,1,0.4951514388201041
0,0.0,0,0.0,2,2.666666667,0.05,0.14,0.0,0.0,2,3,2,2,4,0,0,1,0.4221862138183358
0,0.0,0,0.0,10,627.5,0.02,0.05,0.0,0.0,2,3,3,1,4,1,0,0,0.48912648785803764
0,0.0,0,0.0,19,154.2166667,0.015789474,0.024561404,0.0,0.0,2,2,2,1,3,0,0,0,0.5304536642988075
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,2,2,4,3,3,0,0,1,0.4255094755495629
1,0.0,0,0.0,0,0.0,0.2,0.2,0.0,0.0,2,1,2,1,5,1,0,1,0.5075895948942678
0,0.0,0,0.0,2,37.0,0.0,0.1,0.0,0.8,2,2,2,2,3,0,0,1,0.3605254739299377
0,0.0,0,0.0,3,738.0,0.0,0.022222222,0.0,0.4,2,2,4,1,2,0,0,0,0.5066564220278869
0,0.0,0,0.0,3,395.0,0.0,0.066666667,0.0,0.0,2,1,1,3,3,0,0,0,0.45054224482248273
0,0.0,0,0.0,16,407.75,0.01875,0.025833333,0.0,0.4,2,1,1,4,3,0,0,0,0.4626080836750262
0,0.0,0,0.0,7,280.5,0.0,0.028571429,0.0,0.0,2,1,1,1,3,0,0,0,0.5361241259639804
0,0.0,0,0.0,6,98.0,0.0,0.066666667,0.0,0.0,2,2,5,1,3,0,0,0,0.4482362136189591
0,0.0,0,0.0,2,68.0,0.0,0.1,0.0,0.0,2,3,2,3,3,0,0,0,0.38331445406889264
2,53.0,0,0.0,23,1668.285119,0.008333333,0.016312636,0.0,0.0,2,1,1,9,3,0,0,0,0.823997133770334
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,1,1,4,3,0,0,1,0.47444215034883414
0,0.0,0,0.0,13,334.9666667,0.0,0.007692308,0.0,0.0,2,1,1,1,4,1,0,0,0.622255241777432
0,0.0,0,0.0,2,32.0,0.0,0.1,0.0,0.0,2,2,2,1,3,0,0,0,0.3818657982295639
0,0.0,0,0.0,20,2981.166667,0.0,0.01,0.0,0.0,2,2,4,4,4,0,0,0,0.8845077272725602
0,0.0,0,0.0,8,136.1666667,0.0,0.008333333,0.0,1.0,2,2,2,5,1,1,0,0,0.4632211465426723
0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,2,3,3,1,3,0,0,1,0.4795365683644065
0,0.0,0,0.0,3,105.0,0.0,0.033333333,0.0,0.0,2,3,2,1,5,0,0,0,0.4952026587662358
0,0.0,0,0.0,2,15.0,0.0,0.1,0.0,0.8,2,2,4,1,3,0,0,1,0.35320667703524794
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,2,2,4,1,1,0,1,0.5272762845404078
0,0.0,0,0.0,5,156.0,0.0,0.04,0.0,0.0,2,1,1,9,3,0,0,0,0.4907757822191233
4,64.6,0,0.0,32,1135.444444,0.002857143,0.00952381,0.0,0.0,2,2,2,1,3,0,0,0,0.7586812982671935
0,0.0,0,0.0,4,76.0,0.05,0.1,0.0,0.0,2,1,1,1,3,0,0,1,0.35901202239443747
0,0.0,0,0.0,4,63.0,0.0,0.05,0.0,0.2,2,2,6,1,3,0,0,0,0.44977393634285184
1,6.0,1,0.0,45,1582.75,0.043478261,0.050821256,54.17976426,0.4,2,3,2,1,1,0,0,0,0.632894796717126
0,0.0,0,0.0,2,35.0,0.0,0.1,0.0,0.0,2,1,1,6,3,0,0,0,0.3845325142690526
0,0.0,0,0.0,3,78.0,0.0,0.066666667,0.0,0.0,2,1,2,6,6,1,0,0,0.4545343776464455
0,0.0,0,0.0,8,209.5,0.0,0.025,0.0,0.0,2,2,2,1,1,0,0,0,0.5446543306239293
0,0.0,0,0.0,10,183.6666667,0.04,0.08,0.0,0.0,2,1,1,3,1,0,0,0,0.3686111718677571
0,0.0,0,0.0,14,380.5,0.014285714,0.028571429,0.0,0.0,2,2,2,1,1,0,0,0,0.5313801849892733
0,0.0,0,0.0,52,2086.242857,0.015384615,0.020352564,0.0,0.0,2,2,2,7,1,0,0,0,0.7372359008646922
0,0.0,0,0.0,8,388.0,0.025,0.05625,0.0,0.0,2,3,2,1,4,1,0,0,0.45202696481850063
2,18.0,0,0.0,5,298.0,0.0,0.028571429,0.0,0.8,2,2,2,8,4,0,0,0,0.4638106583839824
0,0.0,0,0.0,7,63.0,0.028571429,0.071428571,0.0,0.6,2,2,2,1,3,0,0,1,0.3416034008099236
0,0.0,0,0.0,9,482.0,0.0,0.022222222,0.0,0.0,2,2,5,1,6,0,0,0,0.5443261308143987
1,9.0,0,0.0,46,4084.393939,0.0,0.001794872,0.0,0.0,2,2,2,8,4,0,0,0,0.6444772012569071
0,0.0,0,0.0,3,22.0,0.0,0.066666667,0.0,0.6,2,1,1,3,2,0,0,0,0.3741157636072953
0,0.0,0,0.0,15,310.1666667,0.0,0.006666667,0.0,0.0,2,1,1,4,4,0,0,0,0.595169193332798
0,0.0,0,0.0,2,34.0,0.0,0.05,0.0,0.4,2,3,2,2,3,0,0,0,0.41862523915724537
0,0.0,0,0.0,4,88.0,0.0,0.05,0.0,0.0,2,4,1,1,3,0,0,0,0.46845609515114633
0,0.0,0,0.0,22,622.25,0.003030303,0.006060606,0.0,0.2,2,2,5,1,4,0,0,0,0.6027754522783272
0,0.0,0,0.0,14,222.4,0.017142857,0.057142857,0.0,0.0,2,1,1,1,2,0,0,0,0.44756696105824195
0,0.0,0,0.0,3,80.0,0.066666667,0.133333333,0.0,0.2,2,3,2,1,3,0,0,1,0.48123111425897436
0,0.0,0,0.0,11,800.8333333,0.0,0.003636364,0.0,0.0,2,3,2,1,3,0,0,0,0.6282612337202739
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.6,2,2,2,3,2,0,0,1,0.3893547749737394
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,1,1,3,4,1,0,1,0.5023948582231499
0,0.0,0,0.0,12,265.1666667,0.011111111,0.026111111,0.0,0.2,2,3,2,1,3,0,0,0,0.4940814160963401
0,0.0,0,0.0,2,29.0,0.0,0.1,0.0,1.0,2,2,4,4,2,1,0,1,0.3455665577965973
0,0.0,0,0.0,4,160.0,0.0,0.075,0.0,0.0,2,4,2,2,3,0,0,0,0.4264477393321092
0,0.0,0,0.0,4,135.6666667,0.05,0.025,0.0,0.4,2,3,3,1,4,0,0,0,0.3873998100795879
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.2,2,2,4,1,3,0,0,1,0.450196501474223
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.6,2,3,2,3,3,0,0,1,0.3879105577918181
4,56.0,2,120.0,36,998.7416667,0.0,0.014736467,19.44707913,0.2,2,2,2,4,1,0,0,0,0.45562637110696164
0,0.0,0,0.0,4,104.0,0.0,0.05,0.0,0.4,2,2,6,6,3,0,0,0,0.42771656304058525
2,16.0,0,0.0,16,381.6865079,0.011764706,0.046568627,0.0,0.6,2,2,4,2,1,0,0,0,0.44915675919905584
0,0.0,0,0.0,6,169.0,0.0,0.016666667,0.0,0.4,2,1,1,3,3,0,0,0,0.4952257289890397
0,0.0,0,0.0,8,400.8,0.05,0.120833333,0.0,0.0,2,1,1,1,3,0,0,1,0.3918751946086222
12,279.4166667,0,0.0,42,1553.583333,0.009,0.019666667,38.30849268,0.0,2,1,1,3,2,0,0,0,0.35335582355835865
0,0.0,0,0.0,14,706.5,0.0,0.007142857,0.0,0.0,2,2,2,5,4,1,0,0,0.6158792483059389
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,2,2,4,3,0,0,1,0.4828086029899298
3,87.83333333,0,0.0,27,798.3333333,0.0,0.012643678,22.9160357,0.8,2,2,2,3,1,0,1,0,0.6041794726997415
4,44.0,0,0.0,90,6951.972222,0.002150538,0.015013034,0.0,0.0,2,4,1,1,3,0,0,2,0.3444646614803397
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.6,2,2,2,5,1,0,0,1,0.39703733236067884
0,0.0,0,0.0,18,902.0,0.0,0.007407407,0.0,0.0,2,2,7,2,4,0,0,0,0.6100717002487925
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.2,2,3,2,3,3,0,0,1,0.44451172084618185
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,2,6,1,2,0,0,1,0.5046300179091772
0,0.0,0,0.0,20,197.3777778,0.025,0.0525,0.0,0.0,2,2,6,6,1,0,0,0,0.464757094560747
0,0.0,0,0.0,2,43.0,0.0,0.1,0.0,0.4,2,2,2,3,3,0,0,0,0.3461912046419796
0,0.0,0,0.0,8,426.6666667,0.0,0.0125,0.0,0.0,2,2,4,3,2,0,0,0,0.5597327093821665
0,0.0,0,0.0,3,135.0,0.0,0.066666667,0.0,0.0,2,2,4,3,3,0,0,0,0.44371792407315835
0,0.0,0,0.0,16,588.3333333,0.0,0.025,0.0,0.0,2,2,4,1,1,0,0,0,0.5880242659944617
10,1005.666667,0,0.0,36,2111.341667,0.004347826,0.014492754,11.43941195,0.0,2,2,6,1,2,0,1,2,0.3816743722885666
0,0.0,0,0.0,2,76.0,0.0,0.05,0.0,0.6,2,3,2,3,3,0,0,0,0.39838945622625266
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,1.0,2,1,1,1,3,1,0,1,0.3520610606047082
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,2,1,1,1,3,0,0,1,0.40085287030376665
0,0.0,0,0.0,7,208.0,0.0,0.028571429,0.0,0.0,2,4,1,1,5,1,0,0,0.5400064843764083
0,0.0,0,0.0,4,270.0,0.0,0.016666667,0.0,0.8,2,1,1,1,3,0,0,0,0.4391087498245309
